axis,source,policy,rows,targets,dock_pose_pass,risk_prob,risk_gt_0_5,qed
family_unseen_train,ExpDiff-100,pb_qed,372,93,0.9865591397849462,0.09446628718061685,0.03494623655913978,0.7809734501087052
family_unseen_train,ExpDiff-100,pb_rc_select,372,93,0.9973118279569892,0.06482234360819135,0.0,0.7759589387594303
family_unseen_train,MolCRAFT-100,pb_qed,372,93,0.9946236559139785,0.120369435172743,0.05913978494623656,0.6913572277636595
family_unseen_train,MolCRAFT-100,pb_rc_select,372,93,0.9973118279569892,0.06654114003748139,0.0,0.6750639563500758
family_unseen_train,MolPilot-framefix,pb_qed,196,49,0.015306122448979591,0.9988920377779912,1.0,0.6539983209901816
family_unseen_train,MolPilot-framefix,pb_rc_select,196,49,0.03571428571428571,0.9844680013968518,0.9846938775510204,0.6511041712284777
family_unseen_train,PocketFlow,pb_qed,372,93,0.8467741935483871,0.5844900883422639,0.5833333333333334,0.7055380517368368
family_unseen_train,PocketFlow,pb_rc_select,372,93,0.9516129032258065,0.27937123449251294,0.1881720430107527,0.5883513666072112
native_scaffold_unseen_train,ExpDiff-100,pb_qed,168,42,0.9821428571428571,0.08812295600760314,0.023809523809523808,0.8077050320727405
native_scaffold_unseen_train,ExpDiff-100,pb_rc_select,168,42,0.9940476190476191,0.05404293431453747,0.0,0.8009133952719826
native_scaffold_unseen_train,MolCRAFT-100,pb_qed,168,42,1.0,0.12875931478706842,0.06547619047619048,0.7258651434933159
native_scaffold_unseen_train,MolCRAFT-100,pb_rc_select,168,42,1.0,0.07312802126018572,0.0,0.7110011344543905
native_scaffold_unseen_train,MolPilot-framefix,pb_qed,88,22,0.03409090909090909,0.9975911530340167,1.0,0.6073216554192263
native_scaffold_unseen_train,MolPilot-framefix,pb_rc_select,88,22,0.056818181818181816,0.9828457585775486,0.9886363636363636,0.6029564545463082
native_scaffold_unseen_train,PocketFlow,pb_qed,168,42,0.8333333333333334,0.5901690237320215,0.6011904761904762,0.6929438031011068
native_scaffold_unseen_train,PocketFlow,pb_rc_select,168,42,0.9345238095238095,0.29709737501594896,0.20833333333333334,0.5789091145881097
generated_scaffold_unseen_train,ExpDiff-100,pb_qed,368,100,0.9864130434782609,0.10568273949250845,0.04076086956521739,0.7788382322825604
generated_scaffold_unseen_train,ExpDiff-100,pb_rc_select,364,100,0.9972527472527473,0.06726166826219172,0.0,0.7744960121652013
generated_scaffold_unseen_train,MolCRAFT-100,pb_qed,296,97,0.9932432432432432,0.15069980535431124,0.09797297297297297,0.6927010674723464
generated_scaffold_unseen_train,MolCRAFT-100,pb_rc_select,282,96,0.9964539007092199,0.0691212934153465,0.0,0.6777127065494705
generated_scaffold_unseen_train,MolPilot-framefix,pb_qed,186,50,0.016129032258064516,0.9988378978966044,1.0,0.6552735010770963
generated_scaffold_unseen_train,MolPilot-framefix,pb_rc_select,186,50,0.03225806451612903,0.9865743950060234,0.989247311827957,0.6528939627111443
generated_scaffold_unseen_train,PocketFlow,pb_qed,141,86,0.8085106382978723,0.6046752061677877,0.5815602836879432,0.7118944019283787
generated_scaffold_unseen_train,PocketFlow,pb_rc_select,167,86,0.9580838323353293,0.2683427075991142,0.1497005988023952,0.5152793017057403
family_and_generated_scaffold_unseen,ExpDiff-100,pb_qed,345,93,0.9855072463768116,0.09719995148836412,0.03768115942028986,0.7862661070840204
family_and_generated_scaffold_unseen,ExpDiff-100,pb_rc_select,343,93,0.9970845481049563,0.06514992616146477,0.0,0.7821251278649489
family_and_generated_scaffold_unseen,MolCRAFT-100,pb_qed,278,90,0.9928057553956835,0.13715480871033006,0.07913669064748201,0.6963486652971872
family_and_generated_scaffold_unseen,MolCRAFT-100,pb_rc_select,268,90,0.996268656716418,0.06696789339620778,0.0,0.680345950182879
family_and_generated_scaffold_unseen,MolPilot-framefix,pb_qed,182,49,0.016483516483516484,0.9988124338062886,1.0,0.6552819899707581
family_and_generated_scaffold_unseen,MolPilot-framefix,pb_rc_select,182,49,0.03296703296703297,0.9862794033796509,0.989010989010989,0.6528501540583018
family_and_generated_scaffold_unseen,PocketFlow,pb_qed,132,79,0.8181818181818182,0.5857720023656061,0.5606060606060606,0.7107218630975579
family_and_generated_scaffold_unseen,PocketFlow,pb_rc_select,159,81,0.9559748427672956,0.25438379948722223,0.1320754716981132,0.5164886575920408
family_and_native_scaffold_unseen,ExpDiff-100,pb_qed,164,41,0.9817073170731707,0.08994854979686451,0.024390243902439025,0.8111309795692455
family_and_native_scaffold_unseen,ExpDiff-100,pb_rc_select,164,41,0.9939024390243902,0.05503730806250456,0.0,0.8041736930904202
family_and_native_scaffold_unseen,MolCRAFT-100,pb_qed,164,41,1.0,0.13187652639243916,0.06707317073170732,0.725696266037849
family_and_native_scaffold_unseen,MolCRAFT-100,pb_rc_select,164,41,1.0,0.07488837204782761,0.0,0.7104697201930962
family_and_native_scaffold_unseen,MolPilot-framefix,pb_qed,88,22,0.03409090909090909,0.9975911530340167,1.0,0.6073216554192263
family_and_native_scaffold_unseen,MolPilot-framefix,pb_rc_select,88,22,0.056818181818181816,0.9828457585775486,0.9886363636363636,0.6029564545463082
family_and_native_scaffold_unseen,PocketFlow,pb_qed,164,41,0.8292682926829268,0.5926598647191912,0.6036585365853658,0.692915757407736
family_and_native_scaffold_unseen,PocketFlow,pb_rc_select,164,41,0.9329268292682927,0.2982090695433653,0.21341463414634146,0.5779288093108069
protein_family_or_scaffold_unseen,ExpDiff-100,pb_qed,395,100,0.9873417721518988,0.1025284144327771,0.0379746835443038,0.774361483484642
protein_family_or_scaffold_unseen,ExpDiff-100,pb_rc_select,393,100,0.9974554707379135,0.06679576182265282,0.0,0.7692222768167017
protein_family_or_scaffold_unseen,MolCRAFT-100,pb_qed,390,100,0.9948717948717949,0.1314244498658071,0.07435897435897436,0.6888191685827635
protein_family_or_scaffold_unseen,MolCRAFT-100,pb_rc_select,386,99,0.9974093264248705,0.06812982747898214,0.0,0.673331762591107
protein_family_or_scaffold_unseen,MolPilot-framefix,pb_qed,200,50,0.015,0.9989141273025507,1.0,0.6540160996986879
protein_family_or_scaffold_unseen,MolPilot-framefix,pb_rc_select,200,50,0.035,0.9847785716490342,0.985,0.6511798329322178
protein_family_or_scaffold_unseen,PocketFlow,pb_qed,381,100,0.84251968503937,0.5915160436239376,0.5905511811023622,0.706094435667
protein_family_or_scaffold_unseen,PocketFlow,pb_rc_select,380,98,0.9526315789473684,0.284979756004733,0.19473684210526315,0.5863069873831755
